id;BSSID;SSID;AvgRSSI;LocationID
2516;ca:5a:b0:3d:73:c3;;-65;45
2517;80:e0:1d:f6:a5:13;LU-Events;-82;45
2518;80:e0:1d:f6:a5:14;Free Tbaytel WiFi;-82;45
2519;a4:6c:2a:d4:ba:42;eduroam;-89;45
2520;d8:b1:90:e1:12:b0;LU-Guest;-79;45
2521;d8:b1:90:e1:12:b4;Free Tbaytel WiFi;-78;45
2522;80:e0:1d:f6:a5:1f;LU-Guest;-90;45
2523;80:e0:1d:f6:a5:1c;LU-Events;-91;45
2524;a4:6c:2a:d3:f4:df;LU-Guest;-83;45
2525;a4:6c:2a:d3:f4:dd;eduroam;-83;45
2526;a4:6c:2a:d3:f4:de;LakeheadU;-83;45
2527;a4:6c:2a:d3:f4:db;Free Tbaytel WiFi;-83;45
2528;a4:6c:2a:d3:f4:dc;LU-Events;-83;45
2529;9c:53:22:40:4f:7b;TBAYTech;-92;45
2530;9c:53:22:40:4f:7a;TBAYTech;-66;45
2531;a6:53:22:40:4f:7b;eduroam;-93;45
2532;a6:53:22:40:4f:7a;eduroam;-67;45
2533;a4:6c:2a:d3:f4:d0;LU-Guest;-66;45
2534;a4:6c:2a:d3:f4:d1;LakeheadU;-66;45
2535;a4:6c:2a:d3:f4:d4;Free Tbaytel WiFi;-66;45
2536;a4:6c:2a:d3:f4:d2;eduroam;-66;45
2537;a4:6c:2a:d3:f4:d3;LU-Events;-67;45
2538;80:e0:1d:ee:3f:00;LU-Guest;-62;45
2539;80:e0:1d:ee:3f:01;LakeheadU;-62;45
2540;80:e0:1d:ee:3f:02;eduroam;-62;45
2541;80:e0:1d:ee:3f:03;LU-Events;-61;45
2542;80:e0:1d:ee:3f:04;Free Tbaytel WiFi;-61;45
2543;80:e0:1d:ee:3f:0e;LakeheadU;-78;45
2544;80:e0:1d:ee:3f:0f;LU-Guest;-76;45
2545;80:e0:1d:ee:3f:0b;Free Tbaytel WiFi;-78;45
2546;80:e0:1d:ee:3f:0c;LU-Events;-78;45
2547;80:e0:1d:ee:3f:0d;eduroam;-78;45
2548;80:e0:1d:e6:79:d2;eduroam;-71;45
2549;80:e0:1d:e6:79:d1;LakeheadU;-72;45
2550;80:e0:1d:e6:79:d0;LU-Guest;-74;45
2551;80:e0:1d:e6:79:d4;Free Tbaytel WiFi;-71;45
2552;80:e0:1d:e6:79:d3;LU-Events;-72;45
2553;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-86;45
2554;80:e0:1d:e6:79:df;LU-Guest;-85;45
2555;80:e0:1d:e6:79:dd;eduroam;-86;45
2556;80:e0:1d:e6:79:dc;LU-Events;-85;45
2557;a2:53:22:40:4f:7b;NOSMSecure;-92;45
2558;a2:53:22:40:4f:7a;NOSMSecure;-66;45
2559;80:e0:1d:ac:8b:04;Free Tbaytel WiFi;-45;45
2560;80:e0:1d:ac:8b:03;LU-Events;-45;45
2561;80:e0:1d:ac:8b:02;eduroam;-45;45
2562;80:e0:1d:ac:8b:01;LakeheadU;-49;45
2563;80:e0:1d:ac:8b:00;LU-Guest;-45;45
2564;80:e0:1d:f6:a4:d0;LU-Guest;-78;45
2565;80:e0:1d:f6:a4:d2;eduroam;-78;45
2566;80:e0:1d:f6:a4:d1;LakeheadU;-78;45
2567;80:e0:1d:f6:a4:d4;Free Tbaytel WiFi;-77;45
2568;80:e0:1d:f6:a4:d3;LU-Events;-78;45
2569;ce:d7:19:24:c6:d5;LINKSYS-750-guest;-85;45
2570;ae:53:22:40:4f:e8;NOSMConnect24;-79;45
2571;80:e0:1d:ac:8b:0e;LakeheadU;-59;45
2572;80:e0:1d:ac:8b:0d;eduroam;-59;45
2573;80:e0:1d:ac:8b:0c;LU-Events;-59;45
2574;80:e0:1d:ac:8b:0b;Free Tbaytel WiFi;-57;45
2575;6c:5a:b0:3d:73:c0;Quanser_UVS-5G;-83;45
2576;6c:5a:b0:3d:73:c1;Quanser_UVS;-62;45
2577;80:e0:1d:ac:8b:0f;LU-Guest;-59;45
2578;a4:6c:2a:d4:be:33;LU-Events;-87;45
2579;a4:6c:2a:d4:be:34;Free Tbaytel WiFi;-87;45
2580;80:e0:1d:ac:8b:02;eduroam;-45;46
2581;80:e0:1d:ac:8b:04;Free Tbaytel WiFi;-45;46
2582;80:e0:1d:ac:8b:03;LU-Events;-45;46
2583;80:e0:1d:ac:8b:00;LU-Guest;-45;46
2584;80:e0:1d:ac:8b:01;LakeheadU;-49;46
2585;80:e0:1d:ac:8b:0b;Free Tbaytel WiFi;-57;46
2586;80:e0:1d:ac:8b:0f;LU-Guest;-59;46
2587;80:e0:1d:ac:8b:0d;eduroam;-59;46
2588;80:e0:1d:ac:8b:0e;LakeheadU;-59;46
2589;80:e0:1d:ac:8b:0c;LU-Events;-59;46
2590;80:e0:1d:ee:3f:04;Free Tbaytel WiFi;-61;46
2591;80:e0:1d:ee:3f:03;LU-Events;-61;46
2592;80:e0:1d:ee:3f:02;eduroam;-62;46
2593;80:e0:1d:ee:3f:00;LU-Guest;-62;46
2594;80:e0:1d:ee:3f:01;LakeheadU;-62;46
2595;6c:5a:b0:3d:73:c1;Quanser_UVS;-62;46
2596;ca:5a:b0:3d:73:c3;;-65;46
2597;a4:6c:2a:d3:f4:d4;Free Tbaytel WiFi;-66;46
2598;a4:6c:2a:d3:f4:d2;eduroam;-66;46
2599;9c:53:22:40:4f:7a;TBAYTech;-66;46
2600;a4:6c:2a:d3:f4:d0;LU-Guest;-66;46
2601;a4:6c:2a:d3:f4:d1;LakeheadU;-66;46
2602;aa:53:22:40:4f:7a;NOSMConnect;-66;46
2603;a2:53:22:40:4f:7a;NOSMSecure;-66;46
2604;ae:53:22:40:4f:7a;NOSMConnect24;-67;46
2605;a6:53:22:40:4f:7a;eduroam;-67;46
2606;a4:6c:2a:d3:f4:d3;LU-Events;-67;46
2607;80:e0:1d:e6:79:d4;Free Tbaytel WiFi;-71;46
2608;80:e0:1d:e6:79:d2;eduroam;-71;46
2609;80:e0:1d:e6:79:d1;LakeheadU;-72;46
2610;80:e0:1d:e6:79:d3;LU-Events;-72;46
2611;00:1f:33:bd:d5:34;Lab1012;-73;46
2612;80:e0:1d:e6:79:d0;LU-Guest;-74;46
2613;80:e0:1d:ee:3f:0f;LU-Guest;-76;46
2614;a4:6c:2a:d3:f2:84;Free Tbaytel WiFi;-77;46
2615;80:e0:1d:f6:a4:d4;Free Tbaytel WiFi;-77;46
2616;a4:6c:2a:d3:f2:80;LU-Guest;-77;46
2617;a4:6c:2a:d3:f2:81;LakeheadU;-77;46
2618;80:e0:1d:ee:3f:0d;eduroam;-78;46
2619;80:e0:1d:ee:3f:0e;LakeheadU;-78;46
2620;80:e0:1d:ee:3f:0c;LU-Events;-78;46
2621;d8:b1:90:e1:12:b4;Free Tbaytel WiFi;-78;46
2622;a4:6c:2a:d3:f2:82;eduroam;-78;46
2623;80:e0:1d:ee:3f:0b;Free Tbaytel WiFi;-78;46
