id;BSSID;SSID;AvgRSSI;LocationID
1175;a4:6c:2a:d4:bf:13;LU-Events;-76;21
1176;80:e0:1d:ee:3f:6c;Free Tbaytel WiFi;-77;21
1177;80:e0:1d:ee:3f:6b;eduroam;-78;21
1178;a4:6c:2a:e0:20:0c;LU-Events;-78;21
1179;80:e0:1d:f6:a4:d4;Free Tbaytel WiFi;-79;21
1180;9c:53:22:40:4e:05;TBAYTech;-79;21
1181;a4:6c:2a:d4:bf:1c;LU-Events;-80;21
1182;e8:de:27:f8:06:78;TP-LINK_F80678_Xiaoping;-80;21
1183;a4:6c:2a:d4:bf:1d;eduroam;-80;21
1184;a4:6c:2a:d4:bf:1e;LakeheadU;-80;21
1185;a2:53:22:40:4e:05;NOSMSecure;-80;21
1186;a6:53:22:40:4e:05;eduroam;-80;21
1187;aa:53:22:40:4e:05;NOSMConnect;-80;21
1188;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-81;21
1189;a4:6c:2a:d4:bf:1f;LU-Guest;-81;21
1190;80:e0:1d:ac:8b:03;LU-Events;-83;21
1191;80:e0:1d:ac:8b:04;Free Tbaytel WiFi;-83;21
1192;aa:53:22:40:4f:80;NOSMConnect;-87;21
1193;d2:5d:05:d7:2e:bc;Xerox;-87;21
1194;aa:53:22:40:4f:7b;NOSMConnect;-92;21
1195;a6:53:22:40:4f:7b;eduroam;-92;21
1196;6c:5a:b0:3d:73:c0;Quanser_UVS-5G;-93;21
1197;a2:53:22:40:4f:7b;NOSMSecure;-93;21
1198;80:e0:1d:ac:8b:0d;eduroam;-93;21
1199;80:e0:1d:ac:8b:0f;LU-Guest;-93;21
1200;80:e0:1d:ac:8b:0c;LU-Events;-93;21
1201;a4:6c:2a:e0:20:01;LakeheadU;-81;22
1202;a4:6c:2a:e0:20:00;LU-Guest;-69;22
1203;a4:6c:2a:e0:20:03;LU-Events;-70;22
1204;a4:6c:2a:e0:20:02;eduroam;-69;22
1205;a4:6c:2a:e0:20:04;Free Tbaytel WiFi;-69;22
1206;ae:53:22:40:4f:7a;NOSMConnect24;-73;22
1207;aa:53:22:40:4f:7a;NOSMConnect;-76;22
1208;aa:53:22:40:4f:7b;NOSMConnect;-87;22
1209;a4:6c:2a:e0:20:0e;LakeheadU;-82;22
1210;a4:6c:2a:e0:20:0d;eduroam;-84;22
1211;80:e0:1d:f6:a5:12;eduroam;-78;22
1212;a2:53:22:40:4e:05;NOSMSecure;-87;22
1213;a6:53:22:40:4f:7b;eduroam;-87;22
1214;a6:53:22:40:4f:7a;eduroam;-72;22
1215;80:e0:1d:f6:a4:db;Free Tbaytel WiFi;-86;22
1216;80:e0:1d:f6:a4:dc;LU-Events;-86;22
1217;80:e0:1d:f6:a4:df;LU-Guest;-87;22
1218;9c:53:22:40:4e:05;TBAYTech;-86;22
1219;9c:53:22:40:4e:04;TBAYTech;-78;22
1220;ac:7a:56:c8:62:0f;LakeheadU;-62;22
1221;ac:7a:56:c8:62:0e;LU-Events;-62;22
1222;ac:7a:56:c8:62:0c;LU-Guest;-62;22
