id;BSSID;SSID;AvgRSSI;LocationID
566;a4:6c:2a:e0:20:03;LU-Events;-84;13
567;a4:6c:2a:d4:ba:5c;LU-Events;-92;13
568;a4:6c:2a:d4:ba:5f;LU-Guest;-93;13
569;a4:6c:2a:d4:ba:5b;Free Tbaytel WiFi;-91;13
570;80:e0:1d:ee:3f:60;LakeheadU;-71;13
571;a4:6c:2a:d4:bf:1f;LU-Guest;-64;13
572;a4:6c:2a:d4:bf:1d;eduroam;-64;13
573;a4:6c:2a:d4:bf:1e;LakeheadU;-64;13
574;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-64;13
575;a4:6c:2a:d4:bf:1c;LU-Events;-63;13
576;80:e0:1d:e6:79:d2;eduroam;-78;13
577;a4:6c:2a:d4:be:3e;LakeheadU;-90;13
578;a4:6c:2a:d4:be:3f;LU-Guest;-90;13
579;a4:6c:2a:d4:be:3c;LU-Events;-90;13
580;a4:6c:2a:d4:be:3d;eduroam;-89;13
581;a4:6c:2a:d4:be:3b;Free Tbaytel WiFi;-90;13
582;00:42:68:59:8b:f1;LakeheadU;-70;13
583;00:42:68:59:8b:f0;LU-Guest;-70;13
584;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-75;13
585;00:42:68:59:8b:f3;LU-Events;-69;13
586;00:42:68:59:8b:f4;Free Tbaytel WiFi;-70;13
587;80:e0:1d:e6:79:df;LU-Guest;-77;13
588;80:e0:1d:e6:79:de;LakeheadU;-76;13
589;80:e0:1d:e6:79:dd;eduroam;-76;13
590;80:e0:1d:e6:79:dc;LU-Events;-75;13
591;80:e0:1d:ee:3f:6c;Free Tbaytel WiFi;-76;13
592;80:e0:1d:ee:3f:6d;LU-Events;-75;13
593;80:e0:1d:ee:3f:6e;LU-Guest;-75;13
594;80:e0:1d:ee:3f:6f;LakeheadU;-75;13
595;ae:53:22:40:4e:04;NOSMConnect24;-77;13
596;80:e0:1d:ee:3f:6b;eduroam;-76;13
597;9c:53:22:40:4e:05;TBAYTech;-91;13
598;9c:53:22:40:4e:04;TBAYTech;-78;13
599;aa:53:22:40:4e:05;NOSMConnect;-91;13
600;82:f2:e0:d1:f9:74;portthru;-81;13
601;a6:53:22:40:4e:05;eduroam;-92;13
602;a6:53:22:40:4e:04;eduroam;-78;13
603;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-60;13
604;a4:6c:2a:d4:bf:12;eduroam;-61;13
605;a4:6c:2a:d4:bf:13;LU-Events;-61;13
606;a4:6c:2a:d4:bf:10;LU-Guest;-61;13
607;a4:6c:2a:d4:bf:11;LakeheadU;-61;13
608;a4:6c:2a:d4:be:30;LU-Guest;-79;13
609;a2:53:22:40:4e:05;NOSMSecure;-92;13
610;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-60;14
611;a4:6c:2a:d4:bf:10;LU-Guest;-61;14
612;a4:6c:2a:d4:bf:12;eduroam;-61;14
613;a4:6c:2a:d4:bf:11;LakeheadU;-61;14
614;a4:6c:2a:d4:bf:13;LU-Events;-61;14
615;a4:6c:2a:d4:bf:1c;LU-Events;-63;14
616;a4:6c:2a:d4:bf:1f;LU-Guest;-64;14
617;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-64;14
618;a4:6c:2a:d4:bf:1d;eduroam;-64;14
619;a4:6c:2a:d4:bf:1e;LakeheadU;-64;14
620;00:42:68:59:8b:fc;LU-Events;-67;14
621;00:42:68:59:8b:fd;eduroam;-68;14
622;00:42:68:59:8b:fb;Free Tbaytel WiFi;-68;14
623;00:42:68:59:8b:fe;LakeheadU;-68;14
624;00:42:68:59:8b:ff;LU-Guest;-69;14
625;a4:6c:2a:d4:ba:52;eduroam;-69;14
626;00:42:68:59:8b:f3;LU-Events;-69;14
627;a4:6c:2a:d4:ba:50;LU-Guest;-70;14
628;00:42:68:59:8b:f1;LakeheadU;-70;14
629;00:42:68:59:8b:f0;LU-Guest;-70;14
630;00:42:68:59:8b:f4;Free Tbaytel WiFi;-70;14
631;a4:6c:2a:d4:ba:54;Free Tbaytel WiFi;-70;14
632;a4:6c:2a:d4:ba:53;LU-Events;-70;14
633;a4:6c:2a:d4:ba:51;LakeheadU;-70;14
634;80:e0:1d:ee:3f:60;LakeheadU;-71;14
635;80:e0:1d:e6:79:dc;LU-Events;-75;14
636;80:e0:1d:ee:3f:6f;LakeheadU;-75;14
637;80:e0:1d:ee:3f:6d;LU-Events;-75;14
638;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-75;14
639;80:e0:1d:ee:3f:6e;LU-Guest;-75;14
640;ac:7a:56:c8:62:0e;LU-Events;-75;14
641;ac:7a:56:c8:62:08;Free Tbaytel WiFi;-75;14
642;ac:7a:56:c8:62:07;eduroam;-75;14
643;80:e0:1d:e6:79:dd;eduroam;-76;14
644;80:e0:1d:e6:79:de;LakeheadU;-76;14
645;80:e0:1d:ee:3f:6c;Free Tbaytel WiFi;-76;14
646;80:e0:1d:ee:3f:6b;eduroam;-76;14
647;ac:7a:56:c8:62:0c;LU-Guest;-76;14
648;80:e0:1d:e6:79:df;LU-Guest;-77;14
649;ae:53:22:40:4e:04;NOSMConnect24;-77;14
650;80:e0:1d:e6:79:d2;eduroam;-78;14
651;9c:53:22:40:4e:04;TBAYTech;-78;14
652;a6:53:22:40:4e:04;eduroam;-78;14
653;a4:6c:2a:d4:be:30;LU-Guest;-79;14
654;ac:7a:56:c8:62:01;LU-Events;-80;14
655;ac:7a:56:c8:62:08;eduroam;-80;14
656;82:f2:e0:d1:f9:74;portthru;-81;14
657;a4:6c:2a:e0:20:03;LU-Events;-84;14
658;a4:6c:2a:d4:be:3d;eduroam;-89;14
659;a4:6c:2a:d4:be:3f;LU-Guest;-90;14
660;a4:6c:2a:d4:be:3b;Free Tbaytel WiFi;-90;14
661;a4:6c:2a:d4:be:3c;LU-Events;-90;14
662;ba:a3:32:e1:97:09;Xerox;-90;14
663;a4:6c:2a:d4:be:3e;LakeheadU;-90;14
664;9c:53:22:40:4e:05;TBAYTech;-91;14
665;aa:53:22:40:4e:05;NOSMConnect;-91;14
666;a4:6c:2a:d4:ba:5b;Free Tbaytel WiFi;-91;14
667;a6:53:22:40:4e:05;eduroam;-92;14
668;a2:53:22:40:4e:05;NOSMSecure;-92;14
669;a4:6c:2a:d4:ba:5c;LU-Events;-92;14
670;a4:6c:2a:d4:ba:5f;LU-Guest;-93;14
671;a4:6c:2a:d4:bf:10;LU-Guest;-65;15
672;a4:6c:2a:d4:bf:12;eduroam;-65;15
673;a4:6c:2a:d4:bf:13;LU-Events;-65;15
674;a4:6c:2a:d4:bf:11;LakeheadU;-66;15
675;80:e0:1d:e6:79:d0;LU-Guest;-66;15
676;80:e0:1d:ee:3f:60;LakeheadU;-67;15
677;a4:6c:2a:d4:bf:14;Free Tbaytel WiFi;-68;15
678;9c:53:22:40:4e:04;TBAYTech;-68;15
679;ae:53:22:40:4e:04;NOSMConnect24;-68;15
680;a6:53:22:40:4e:04;eduroam;-68;15
681;aa:53:22:40:4e:04;NOSMConnect;-68;15
682;a2:53:22:40:4e:04;NOSMSecure;-68;15
683;80:e0:1d:e6:79:d2;eduroam;-69;15
684;80:e0:1d:e6:79:d3;LU-Events;-69;15
685;a4:6c:2a:d4:bf:1c;LU-Events;-71;15
686;a4:6c:2a:d4:bf:1f;LU-Guest;-72;15
687;a4:6c:2a:d4:bf:1b;Free Tbaytel WiFi;-72;15
688;a4:6c:2a:d4:bf:1d;eduroam;-72;15
689;a4:6c:2a:d4:bf:1e;LakeheadU;-72;15
690;00:42:68:59:8b:f1;LakeheadU;-73;15
691;00:42:68:59:8b:f0;LU-Guest;-73;15
692;00:42:68:59:8b:f4;Free Tbaytel WiFi;-73;15
693;00:42:68:59:8b:f3;LU-Events;-73;15
694;00:42:68:59:8b:f2;eduroam;-73;15
695;80:e0:1d:e6:79:dc;LU-Events;-74;15
696;80:e0:1d:e6:79:db;Free Tbaytel WiFi;-74;15
697;80:e0:1d:e6:79:dd;eduroam;-74;15
698;80:e0:1d:e6:79:de;LakeheadU;-75;15
699;80:e0:1d:ee:3f:6b;eduroam;-75;15
700;80:e0:1d:ee:3f:6e;LU-Guest;-76;15
701;ac:7a:56:c8:62:0c;LU-Guest;-76;15
702;ac:7a:56:c8:62:08;Free Tbaytel WiFi;-76;15
703;ac:7a:56:c8:62:07;eduroam;-76;15
704;ac:7a:56:c8:62:01;LU-Events;-76;15
705;ac:7a:56:c8:62:04;;-76;15
706;ac:7a:56:c8:62:07;Free Tbaytel WiFi;-76;15
707;00:42:68:59:8b:ff;LU-Guest;-77;15
708;80:e0:1d:ee:3f:6d;LU-Events;-77;15
709;00:42:68:59:8b:fb;Free Tbaytel WiFi;-77;15
710;80:e0:1d:ee:3f:6c;Free Tbaytel WiFi;-78;15
711;a4:6c:2a:d4:ba:53;LU-Events;-78;15
712;82:f2:e0:d1:f9:74;portthru;-78;15
713;a4:6c:2a:d4:be:30;LU-Guest;-78;15
714;ac:7a:56:c8:62:00;LakeheadU;-78;15
715;ac:7a:56:c8:62:0f;LakeheadU;-78;15
716;a4:6c:2a:d4:ba:50;LU-Guest;-79;15
717;a4:6c:2a:d4:ba:54;Free Tbaytel WiFi;-79;15
718;ac:7a:56:c8:62:0e;LU-Events;-79;15
719;ac:7a:56:c8:62:0d;;-79;15
720;a4:6c:2a:e0:20:00;LU-Guest;-80;15
721;a4:6c:2a:e0:20:02;eduroam;-80;15
722;a4:6c:2a:e0:20:01;LakeheadU;-80;15
723;a4:6c:2a:e0:20:03;LU-Events;-81;15
724;a4:6c:2a:e0:20:04;Free Tbaytel WiFi;-81;15
725;a6:53:22:40:4e:05;eduroam;-85;15
726;9c:53:22:40:4e:05;TBAYTech;-86;15
727;aa:53:22:40:4e:05;NOSMConnect;-86;15
728;a2:53:22:40:4e:05;NOSMSecure;-86;15
729;ba:a3:32:e1:97:09;Xerox;-86;15
730;a4:6c:2a:d4:be:3f;LU-Guest;-87;15
